Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2019-09-05,0.301875,0.305334,0.278957,0.28198,0.28198,329429.0,41
2019-09-06,0.28198,0.296766,0.276,0.280896,0.280896,265563.0,43
2019-09-07,0.279609,0.29314,0.275968,0.286841,0.286841,246481.0,39
2019-09-08,0.286786,0.294363,0.277067,0.27986500000000003,0.27986500000000003,279072.0,43
2019-09-09,0.283981,0.284508,0.27087100000000003,0.278254,0.278254,272321.0,41
2019-09-10,0.276675,0.279727,0.265961,0.270787,0.270787,234786.0,41
2019-09-11,0.27187,0.274733,0.265283,0.273464,0.273464,234758.0,38
2019-09-12,0.273464,0.498398,0.220132,0.37584,0.37584,297642.0,39
2019-09-13,0.376135,0.50531,0.216393,0.480829,0.480829,409563.0,38
2019-09-14,0.33867,0.47616,0.267329,0.340334,0.340334,282848.0,39
2019-09-15,0.340334,0.357275,0.26776,0.307996,0.307996,258782.0,38
2019-09-16,0.307996,0.324395,0.27068000000000003,0.276906,0.276906,241640.0,38
2019-09-17,0.277047,0.286219,0.270474,0.283555,0.283555,286800.0,41
2019-09-18,0.281758,0.31063,0.278558,0.30209400000000003,0.30209400000000003,396711.0,38
2019-09-19,0.301603,0.30196,0.286843,0.294208,0.294208,270634.0,31
2019-09-20,0.293883,0.296149,0.284622,0.287154,0.287154,251255.0,41
2019-09-21,0.286939,0.293344,0.282527,0.288095,0.288095,236867.0,37
2019-09-22,0.287264,0.29088,0.28115,0.284492,0.284492,236098.0,37
2019-09-23,0.2865,0.287262,0.267886,0.267886,0.267886,228455.0,41
2019-09-24,0.267928,0.278333,0.227246,0.227246,0.227246,260334.0,39
2019-09-25,0.2295,0.236794,0.21581,0.224476,0.224476,223050.0,15
2019-09-26,0.225743,0.229047,0.210658,0.220261,0.220261,226684.0,12
2019-09-27,0.220987,0.222387,0.2118,0.217214,0.217214,199762.0,24
2019-09-28,0.21735,0.223093,0.215063,0.217287,0.217287,190415.0,32
2019-09-29,0.217607,0.221159,0.21001,0.211468,0.211468,192347.0,33
2019-09-30,0.212696,0.219802,0.203911,0.21793,0.21793,197368.0,27
2019-10-01,0.217473,0.224655,0.215561,0.21708,0.21708,199985.0,38
2019-10-02,0.219516,0.226215,0.21730700000000008,0.222787,0.222787,199322.0,39
2019-10-03,0.223464,0.233201,0.221417,0.230754,0.230754,275519.0,37
2019-10-04,0.230763,0.232793,0.224705,0.229145,0.229145,212038.0,30
2019-10-05,0.227457,0.23161,0.223119,0.2296030000000001,0.2296030000000001,203366.0,31
2019-10-06,0.229582,0.23538,0.224218,0.227916,0.227916,264315.0,32
2019-10-07,0.226074,0.231727,0.2169,0.228525,0.228525,234935.0,27
2019-10-08,0.228449,0.244037,0.227337,0.237432,0.237432,339714.0,39
2019-10-09,0.237432,0.244455,0.234327,0.240373,0.240373,260857.0,37
2019-10-10,0.240417,0.244371,0.235614,0.240138,0.240138,231077.0,41
2019-10-11,0.239387,0.24128,0.224155,0.225005,0.225005,230193.0,39
2019-10-12,0.225057,0.232143,0.22074,0.227744,0.227744,206734.0,38
2019-10-13,0.227744,0.25500500000000004,0.2162280000000001,0.224461,0.224461,187599.0,38
2019-10-14,0.224461,0.250202,0.217536,0.228873,0.228873,193728.0,37
2019-10-15,0.232043,0.235017,0.221292,0.224612,0.224612,189789.0,39
2019-10-16,0.222383,0.227679,0.212877,0.218376,0.218376,190318.0,40
2019-10-17,0.216131,0.2238,0.212042,0.216685,0.216685,195346.0,40
2019-10-18,0.216685,0.220344,0.212054,0.215626,0.215626,200995.0,40
2019-10-19,0.215593,0.215941,0.207434,0.208167,0.208167,187523.0,41
2019-10-20,0.208999,0.211732,0.200374,0.206072,0.206072,211698.0,37
2019-10-21,0.205634,0.238253,0.201002,0.202899,0.202899,186251.0,37
2019-10-22,0.201345,0.204208,0.195683,0.198033,0.198033,199591.0,39
